# Ell2 Log(L(8-1000um))=14.0 L_sun, Fluxes in uJy and mags in AB (Optical filters from Loiano (Ul), VVDS (UBVRI) and CFHTLS (Ugriz+p)
#          z      F(Ul)       F(U)       F(B)       F(V)       F(R)       F(I)      F(Up)      F(gp)      F(rp)      F(ip)      F(zp)       F(J)      F(Ks)     F(3.6)     F(4.5)     F(5.8)     F(8.0)      F(24)   mag(Ul)    mag(U)    mag(B)    mag(V)    mag(R)    mag(I)   mag(Up)   mag(gp)   mag(rp)   mag(ip)   mag(zp)    mag(J)   mag(Ks)  mag(3.6)  mag(4.5)  mag(5.8)  mag(8.0)   mag(24)
# lambda(um)     0.3688     0.3446     0.4355     0.5388     0.6597     0.8079     0.3783     0.4858     0.6258     0.7701     0.8909     1.2534     2.1640     3.5640     4.5119     5.7601     7.9600    23.8433    0.3688    0.3446    0.4355    0.5388    0.6597    0.8079    0.3783    0.4858    0.6258    0.7701    0.8909    1.2534    2.1640    3.5640    4.5119    5.7601    7.9600   23.8433
          z      F(Ul)       F(U)       F(B)       F(V)       F(R)       F(I)      F(Up)      F(gp)      F(rp)      F(ip)      F(zp)       F(J)      F(Ks)     F(3.6)     F(4.5)     F(5.8)     F(8.0)      F(24)   mag(Ul)    mag(U)    mag(B)    mag(V)    mag(R)    mag(I)   mag(Up)   mag(gp)   mag(rp)   mag(ip)   mag(zp)    mag(J)   mag(Ks)  mag(3.6)  mag(4.5)  mag(5.8)  mag(8.0)   mag(24)
       0.800 -9.9000e+01 -9.9000e+01  5.4476e+02  1.9353e+03  4.8861e+03  1.3366e+04  3.5992e+02  1.0289e+03  3.8164e+03  1.1415e+04  1.7595e+04  2.7844e+04  4.1305e+04  3.9000e+04  2.5779e+04  1.9633e+04  1.3080e+04  5.9040e+03   -99.0000   -99.0000    17.0595    15.6831    14.6776    13.5850    17.5095    16.3691    14.9459    13.7563    13.2866    12.7882    12.3600    12.4223    12.8718    13.1675    13.6085    14.4721
       0.900 -9.9000e+01 -9.9000e+01  3.5344e+02  1.0868e+03  2.9781e+03  8.5264e+03  2.1597e+02  5.8267e+02  2.4070e+03  6.8330e+03  1.2279e+04  2.0802e+04  3.2063e+04  3.2767e+04  2.2919e+04  1.6245e+04  1.1240e+04  4.6998e+03   -99.0000   -99.0000    17.5292    16.3096    15.2152    14.0731    18.0640    16.9864    15.4463    14.3135    13.6771    13.1047    12.6350    12.6114    12.9995    13.3732    13.7731    14.7198
       1.000 -9.9000e+01 -9.9000e+01  2.4581e+02  5.9779e+02  1.9646e+03  5.3918e+03  1.2417e+02  3.6746e+02  1.5655e+03  4.1776e+03  8.4449e+03  1.6032e+04  2.5722e+04  2.8012e+04  2.0674e+04  1.3684e+04  9.8739e+03  3.8800e+03   -99.0000   -99.0000    17.9235    16.9586    15.6668    14.5707    18.6650    17.4870    15.9134    14.8477    14.0835    13.3875    12.8742    12.7817    13.1115    13.5595    13.9138    14.9279
       1.100 -9.9000e+01 -9.9000e+01  1.7734e+02  3.5940e+02  1.3209e+03  3.4476e+03  7.3186e+01  2.5071e+02  9.9085e+02  2.6060e+03  5.8152e+03  1.2485e+04  2.0938e+04  2.3946e+04  1.8628e+04  1.1874e+04  8.7952e+03  3.2897e+03   -99.0000   -99.0000    18.2780    17.5110    16.0978    15.0562    19.2389    17.9021    16.4100    15.3601    14.4886    13.6591    13.0976    12.9519    13.2246    13.7135    14.0394    15.1071
       1.200 -9.9000e+01 -9.9000e+01  1.1821e+02  2.4279e+02  8.6641e+02  2.3130e+03  4.4230e+01  1.7539e+02  6.2888e+02  1.7525e+03  3.8407e+03  9.8316e+03  1.7187e+04  2.0334e+04  1.6728e+04  1.0717e+04  7.8788e+03  2.8344e+03   -99.0000   -99.0000    18.7183    17.9369    16.5557    15.4896    19.7857    18.2900    16.9036    15.7908    14.9390    13.9184    13.3120    13.1294    13.3414    13.8248    14.1588    15.2688
       1.300 -9.9000e+01 -9.9000e+01  7.5448e+01  1.7873e+02  5.7161e+02  1.5649e+03  2.6846e+01  1.2828e+02  3.8723e+02  1.2449e+03  2.5323e+03  7.8608e+03  1.4187e+04  1.7167e+04  1.5037e+04  1.0014e+04  7.0962e+03  2.4408e+03   -99.0000   -99.0000    19.2059    18.2695    17.0073    15.9138    20.3278    18.6296    17.4301    16.1622    15.3912    14.1613    13.5203    13.3132    13.4571    13.8984    14.2724    15.4312
       1.400 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01  9.5002e+01  2.4681e+02  9.1619e+02  1.7364e+03  6.3480e+03  1.1695e+04  1.4553e+04  1.3723e+04  9.4648e+03  6.4411e+03  2.1172e+03   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000    18.9557    17.9191    16.4950    15.8009    14.3934    13.7300    13.4926    13.5564    13.9597    14.3776    15.5856
       1.500 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01  6.7862e+01  1.7746e+02  6.5803e+02  1.2435e+03  5.1486e+03  9.8247e+03  1.2522e+04  1.2585e+04  9.0044e+03  5.8763e+03  1.8597e+03   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000    19.3209    18.2772    16.8544    16.1634    14.6208    13.9192    13.6558    13.6504    14.0139    14.4772    15.7264
       1.600 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01  4.7124e+01  1.3194e+02  4.5768e+02  9.2897e+02  4.1559e+03  8.3257e+03  1.0918e+04  1.1496e+04  8.6041e+03  5.3866e+03  1.6532e+03   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000    19.7169    18.5990    17.2486    16.4800    14.8533    14.0990    13.8046    13.7486    14.0632    14.5717    15.8542
       1.800 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01 -9.9000e+01  2.2427e+01  8.8397e+01  2.2585e+02  5.5447e+02  2.7642e+03  6.3185e+03  8.6431e+03  9.3979e+03  7.7720e+03  4.7167e+03  1.3726e+03   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000    20.5231    19.0339    18.0155    17.0403    15.2961    14.3985    14.0583    13.9674    14.1737    14.7159    16.0562
